product_code,product_name,product_type,product_category,storage_location,rubber_code,is_active,image_url,legacy_id,created_at,updated_at
110000300,ยางลบคัตเตอร์ RBC03 สีชมพู,FINISHPRODUCT,FIBERLASER,3KBแถว2ชั้น2,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000300-1768884644763.jpg,8081,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000301,ยางลบคัตเตอร์ RBC04 สีเขียว,FINISHPRODUCT,FIBERLASER,3KBแถว2ชั้น1,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000301-1768884645389.jpg,8082,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000302,ยางลบคัตเตอร์ RBD01 สีม่วง,FINISHPRODUCT,FIBERLASER,3KBแถว1ชั้น8,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000302-1768884645730.jpg,8083,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000303,ยางลบคัตเตอร์ RBD02 สีชมพู,FINISHPRODUCT,FIBERLASER,3KBแถว1ชั้น7,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000303-1768884646040.jpg,8084,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000304,ยางลบคัตเตอร์ RBD03 สีฟ้า,FINISHPRODUCT,FIBERLASER,3KBแถว1ชั้น6,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000304-1768884646339.jpg,8085,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000305,ยางลบคัตเตอร์ RBD04สีเหลือง,FINISHPRODUCT,FIBERLASER,3KBแถว1ชั้น5,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000305-1768884646652.jpg,8086,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000306,ยางลบคัตเตอร์ RBD05 สีเขียวมิ้น,FINISHPRODUCT,FIBERLASER,3KBแถว1ชั้น4,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000306-1768884646977.jpg,8087,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000307,ยางลบคัตเตอร์ RBD06 สีเขียวอ่อน,FINISHPRODUCT,FIBERLASER,4KBแถว12ชั้น3,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000307-1768884647461.jpg,8088,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000308,กระบอกน้ำ BTA01 สีเขียวเทา,FINISHPRODUCT,FIBERLASER,4Eชั้น4แถว1,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000308-1768884647770.jpg,8089,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000309,กระบอกน้ำ BTA02 สีเหลืองชมพู,FINISHPRODUCT,FIBERLASER,4Eชั้น4แถว2,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000309-1768884648203.jpg,8090,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000310,กระบอกน้ำ BTA03 สีครีมเขียว,FINISHPRODUCT,FIBERLASER,4Eชั้น4แถว3,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000310-1768884648611.jpg,8091,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000311,PCE ดินสอ 2B สีขาว (กล่อง 10แท่ง),FINISHPRODUCT,FIBERLASER,4KBแถว01ชั้น3,,true,,8092,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000312,หมึกแฟลชกระดาษ 5 ml. (เขียว),FINISHPRODUCT,INK,3KBแถว5ชั้น3,,true,,8093,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
